Simbol;Denumire emisiune;ISIN;Emitent;Cod Fiscal / CUI;Nr. obligatiuni emise;Valoare nominala;Valoare emisiune;Data emisiune;Data listarii;Data maturitate;Numar cupoane;Convertibila;Benchmark;Tip;Sectiune bursa;Piata Principala;Categoria;Stare;Model tranzactionare;Lista pasi de pret
R2810AE;MINISTERUL FINANTELOR;ROY61GNL5YW8;MINISTERUL  FINANTELOR;8609468;938204;100;93820400;06.10.2023;09.10.2023;06.10.2028;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2812AE;MINISTERUL FINANTELOR;RO5W46FHTRU7;MINISTERUL  FINANTELOR;8609468;1743552;100;174355200;20.12.2023;21.12.2023;20.12.2028;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2903AE;MINISTERUL FINANTELOR;ROBK9EB2A2D8;MINISTERUL  FINANTELOR;8609468;725321;100;72532100;06.03.2024;07.03.2024;06.03.2029;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2904AE;MINISTERUL FINANTELOR;RO46T3V3B2W6;MINISTERUL  FINANTELOR;8609468;1288393;100;128839300;22.04.2024;23.04.2024;22.04.2029;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2907AE;MINISTERUL FINANTELOR;RO4BEW3ZCCI4;MINISTERUL  FINANTELOR;8609468;1167694;100;116769400;03.07.2024;04.07.2024;03.07.2029;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2908A;MINISTERUL FINANTELOR;ROOH5OS3YJ34;MINISTERUL  FINANTELOR;8609468;9702117;100;970211700;23.08.2024;26.08.2024;23.08.2029;5;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2908AE;MINISTERUL FINANTELOR;ROFWCWVUUWU1;MINISTERUL  FINANTELOR;8609468;1057031;100;105703100;23.08.2024;26.08.2024;23.08.2029;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2910A;MINISTERUL FINANTELOR;ROYXKB42YAO8;MINISTERUL  FINANTELOR;8609468;6038365;100;603836500;16.10.2024;17.10.2024;16.10.2029;5;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2910AE;MINISTERUL FINANTELOR;RO773WJCMQ25;MINISTERUL  FINANTELOR;8609468;1706694;100;170669400;16.10.2024;17.10.2024;16.10.2029;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2912A;MINISTERUL FINANTELOR;RO5U8HYGYHX8;MINISTERUL  FINANTELOR;8609468;3822422;100;382242200;23.12.2024;27.12.2024;23.12.2029;5;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R3002A;MINISTERUL FINANTELOR;ROFVG9JN0B82;MINISTERUL  FINANTELOR;8609468;3360527;100;336052700;19.02.2025;20.02.2025;19.02.2030;5;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R3003A;MINISTERUL FINANTELOR;RON6WVVB8CK0;MINISTERUL  FINANTELOR;8609468;1133235;100;113323500;19.03.2025;20.03.2025;19.03.2030;5;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R3004A;MINISTERUL FINANTELOR;ROE5YA2DZUA8;MINISTERUL  FINANTELOR;8609468;1085259;100;108525900;16.04.2025;17.04.2025;16.04.2030;5;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R3112AE;MINISTERUL FINANTELOR;ROYZCEDPZ539;MINISTERUL  FINANTELOR;8609468;1409408;100;140940800;23.12.2024;27.12.2024;23.12.2031;9;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R3202AE;MINISTERUL FINANTELOR;ROF1JEO56VX1;MINISTERUL  FINANTELOR;8609468;2267222;100;226722200;19.02.2025;20.02.2025;19.02.2032;7;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R3203AE;MINISTERUL FINANTELOR;ROW1WT1KVBM6;MINISTERUL  FINANTELOR;8609468;855001;100;85500100;19.03.2025;20.03.2025;19.03.2032;7;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R3204AE;MINISTERUL FINANTELOR;ROV33IZK0XP8;MINISTERUL  FINANTELOR;8609468;584756;100;58475600;16.04.2025;17.04.2025;16.04.2032;7;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
RBRO26;RAIFFEISEN BANK _ OB. 2026;XS2339508587;RAIFFEISEN BANK S.A.;361820;763;525000;400575000;14.05.2021;27.05.2021;14.05.2026;5;N/A;N/A;Obligatiuni corporative;BSE;ORDB;Corporative;Tranzactionabila;Tranzactionare continua;
RBRO27;RAIFFEISEN BANK S.A. OB 2027;XS2489289053;RAIFFEISEN BANK S.A.;361820;1000;525000;525000000;15.06.2022;24.06.2022;15.06.2027;5;N/A;N/A;Obligatiuni corporative;BSE;ORDB;Corporative;Tranzactionabila;Tranzactionare continua;
